Sheet Row,ARN,Item Name,Selected Tally Parent,Unit,Classification,Reason,Tally MASTERID (if matched)
34,ACH-RD-FL-0006,DY-634-NHS-Easter,,ug,NOT_SELECTED,Tally Sync not selected for this row,
35,ACH-RD-FL-0007,DY-649-NHS-Easter,,ug,NOT_SELECTED,Tally Sync not selected for this row,
36,ACH-RD-FL-0008,DY-649P1-NHS-Easter,,ug,NOT_SELECTED,Tally Sync not selected for this row,
37,ACH-RD-FL-0009,DY-651-Amin,,ug,NOT_SELECTED,Tally Sync not selected for this row,
38,ACH-RD-FL-0010,DY-654-Amin,,ug,NOT_SELECTED,Tally Sync not selected for this row,
39,ACH-RD-FL-0011,DY-634-Amin,,ug,NOT_SELECTED,Tally Sync not selected for this row,
40,ACH-RD-FL-0012,DY-654-NHS-Easter,,ug,NOT_SELECTED,Tally Sync not selected for this row,
41,ACH-RD-FL-0013,DY-634-Maleimide,,ug,NOT_SELECTED,Tally Sync not selected for this row,
42,ACH-RD-CH-0020,E5630-B-Estradiol - 6()-Carboxmethtl) oxime-BSA,,ug,NO_CHANGE,matches existing Tally item,11341
43,ACH-RD-FL-0014,FD250S-Fluorescein isothiocyanate dextran,,ug,NOT_SELECTED,Tally Sync not selected for this row,
44,ACH-RD-FL-0015,FD2000S - Fluorescein isothiocyanate dextran,,ug,NO_CHANGE,matches existing Tally item,11408
45,ACH-RD-FL-0016,FD500S -Fluorescein isothiocyanate dextran,,ug,NO_CHANGE,matches existing Tally item,11409
46,ACH-RD-FL-0017,19773-Fluoresbrite BB Carboxylate Microspheres 0.05um,,ul,NOT_SELECTED,Tally Sync not selected for this row,
47,ACH-RD-FL-0018,16661-Fluoresbrite YG Carboxylate Microspheres 0.05um,,ul,NOT_SELECTED,Tally Sync not selected for this row,
48,ACH-RD-AB-0003,100022-Anti-H LH-5304-SP-5,,ug,NO_CHANGE,matches existing Tally item,10914
49,ACH-RD-CH-0021,22586-DSP Dithiobis (succinimidylpropionate),,ug,NOT_SELECTED,Tally Sync not selected for this row,
50,ACH-RD-CH-0022,ML014 - 0.5 M EDTA pH 8.0 Used in various Molecular Biology Applications,,ul,REVIEW,duplicate Item Name within Master List,
51,ACH-RD-CH-0023,ML014 - 0.5 M EDTA pH 8.0 Used in various Molecular Biology Applications,,ul,REVIEW,duplicate Item Name within Master List,
52,ACH-RD-CH-0024,F1141 - Fibronectin 0.1% Solution from Bovine Plasa,,ug,NOT_SELECTED,Tally Sync not selected for this row,
53,ACH-RD-CH-0025,Fluoro-Max - Carboxylate-Modified Died Macroparticles,,ul,NOT_SELECTED,Tally Sync not selected for this row,
54,ACH-RD-AB-0004,Fibrinogen Reagent- Thrombine,,ul,NOT_SELECTED,Tally Sync not selected for this row,
55,ACH-RD-FL-0019,GSXR150 - Bioready Gold Nanoshells,,ul,NOT_SELECTED,Tally Sync not selected for this row,
56,ACH-RD-CH-0026,H7379 Hemoglobin Human,,mg,NO_CHANGE,matches existing Tally item,11448
57,ACH-RD-CH-0027,467804-Hydroxylamine Solution,,ul,UPDATE,unit differs: sheet='ul' vs tally='UI' (report only -- not auto-altered),11038
58,ACH-RD-AB-0005,MBS173396 Human Serum Albumin - Protease Free,,mg,NOT_SELECTED,Tally Sync not selected for this row,
59,ACH-RD-CH-0028,477028 - Hydroxyenthel methacrylate,,ul,NOT_SELECTED,Tally Sync not selected for this row,
60,ACH-RD-CH-0029,G0383- Gentamicin Sulphate,,mg,NO_CHANGE,matches existing Tally item,11422
61,ACH-RD-CH-0030,254169 - Gold (III) Chloride Hydrate,,ug,REVIEW,duplicate Item Name within Master List,
62,ACH-RD-AB-0006,100011 - Anti-HCG - 5014 - SPTN-5,,ug,NO_CHANGE,matches existing Tally item,10913
63,ACH-RD-AB-0007,P01-29342 -Anti Hemoglobin Polyclonal Antibody,,ug,NOT_SELECTED,Tally Sync not selected for this row,
64,ACH-RD-AB-0008,Anti-HCG 2H8 Mab F1,,ul,NOT_SELECTED,Tally Sync not selected for this row,
65,ACH-RD-CH-0031,H3375-HEPES,,mg,NO_CHANGE,matches existing Tally item,11447
66,ACH-RD-CH-0032,107689 - Hexadimethrine bromide,,mg,NOT_SELECTED,Tally Sync not selected for this row,
67,ACH-RD-CH-0033,477028-2-Hydroxyethyl methacrylate 99%,,ul,NOT_SELECTED,Tally Sync not selected for this row,
68,ACH-RD-CH-0034,308633 - 2-Hydroxyethyl Cellulose,,mg,NOT_SELECTED,Tally Sync not selected for this row,
69,ACH-RD-CH-0035,"475807 - Glycerol 1,3-diglycerolate diacrylate",,ul,NOT_SELECTED,Tally Sync not selected for this row,
70,ACH-RD-CH-0036,I6256-2-Iminothiolane hydrochloride,,ug,NOT_SELECTED,Tally Sync not selected for this row,
71,ACH-RD-CH-0037,I6758 - Isopropyl B-D-1thiogalactopyranoside,,mg,NOT_SELECTED,Tally Sync not selected for this row,
72,ACH-RD-CH-0038,33015 - ImmunoPure AMCA - Hydrazide,,ug,NOT_SELECTED,Tally Sync not selected for this row,
73,ACH-RD-AB-0009,I5381 - IGG from Mouse Serum,,ug,NOT_SELECTED,Tally Sync not selected for this row,
74,ACH-EN-EL-0002,160050 - Liquid Plate Sealer,,ul,REVIEW,duplicate Item Name within Master List,
75,ACH-EN-EL-0003,160050 - Liquid Plate Sealer,,ul,REVIEW,duplicate Item Name within Master List,
76,ACH-RD-CH-0039,MB098-Lysozyme,,mg,REVIEW,duplicate Item Name within Master List,
77,ACH-RD-CH-0040,MB098-Lysozyme,,mg,REVIEW,duplicate Item Name within Master List,
78,ACH-RD-CH-0041,"900889-Lithium Phenyl -2, 4,6 - Trimethylbenzene - Yl phosphonate",,mg,NO_CHANGE,matches existing Tally item,11109
79,ACH-RD-AB-0010,100019 - Anti-H LH 5303 SPRN-1,,ug,NOT_SELECTED,Tally Sync not selected for this row,
80,ACH-RD-KT-0004,Lepto IGM Microlisa,,Test,NOT_SELECTED,Tally Sync not selected for this row,
81,ACH-RD-CH-0042,L9017- Lectin from Fahseolusvulgaris,,ug,NOT_SELECTED,Tally Sync not selected for this row,
82,ACH-RD-AB-0011,HCGCD- Monoclonal Antibodt HCG,,ul,NOT_SELECTED,Tally Sync not selected for this row,
83,ACH-RD-CH-0043,MIDARDI Cartridge,,No,NOT_SELECTED,Tally Sync not selected for this row,
84,ACH-RD-CH-0044,C1063 - Chorionic gonadotropin Human,,ul,NOT_SELECTED,Tally Sync not selected for this row,
85,ACH-RD-CH-0045,M6500-Cysteamine Hydrochloride,,mg,NOT_SELECTED,Tally Sync not selected for this row,
86,ACH-RD-CH-0046,2-Bromo 17B-Estradial,,ug,NOT_SELECTED,Tally Sync not selected for this row,
87,ACH-RD-FL-0020,Fluidmag-CT,,ug,NOT_SELECTED,Tally Sync not selected for this row,
88,ACH-RD-CH-0047,P8375 - Peroxidase from horseradish,,No,NOT_SELECTED,Tally Sync not selected for this row,
89,ACH-RD-CH-0048,77332- Peroxidase from horseradish,,ug,NOT_SELECTED,Tally Sync not selected for this row,
90,ACH-RD-AB-0012,P0012-02 - Rabitt Anti Goat IGG Absorbed,,ug,NOT_SELECTED,Tally Sync not selected for this row,
91,ACH-RD-AB-0013,100038 - Anti-H PRL 5601 - SP-1,,ug,NOT_SELECTED,Tally Sync not selected for this row,
92,ACH-RD-CH-0049,P3277 - Progesterone,,ug,NOT_SELECTED,Tally Sync not selected for this row,
93,ACH-RD-AB-0014,NO1275H - Hama Serum,,ul,NOT_SELECTED,Tally Sync not selected for this row,
94,ACH-RD-AB-0015,A01270H - Rheumatoid Factor CTRL Plasma,,ul,NOT_SELECTED,Tally Sync not selected for this row,
95,ACH-RD-CH-0050,122-49 - Carbon Coinductive Link,,mg,NOT_SELECTED,Tally Sync not selected for this row,
96,ACH-RD-CH-0051,113-12 - Thinner Solvent,,ug,NOT_SELECTED,Tally Sync not selected for this row,
97,ACH-RD-KT-0005,Ni-NTA Agarose,,ul,NOT_SELECTED,Tally Sync not selected for this row,
98,ACH-RD-CH-0052,"655201 -Poly (3,4-ethylendioxythiophene) - Poly (styrene sulfonate) Formulations for high conductivity coatings",,mg,NOT_SELECTED,Tally Sync not selected for this row,
99,ACH-RD-CH-0053,455008 - Poly (ethylene glycol) diacrylate,,ul,REVIEW,duplicate Item Name within Master List,
100,ACH-RD-CH-0054,455008 - Poly (ethylene glycol) diacrylate,,ul,REVIEW,duplicate Item Name within Master List,
101,ACH-RD-CH-0055,447943 - Poly (ethylene glycol) methyl ethier methacrylate,,ul,NOT_SELECTED,Tally Sync not selected for this row,
102,ACH-RD-CH-0056,469815 - Poly (propylene glycol) acrylate,,ul,NOT_SELECTED,Tally Sync not selected for this row,
103,ACH-RD-CH-0057,475629 - Poly (ethylene glycol) diacrylate,,ul,NOT_SELECTED,Tally Sync not selected for this row,
104,ACH-RD-CH-0058,409510 - Poly (ethylene glycol) methacrylate,,ul,NOT_SELECTED,Tally Sync not selected for this row,
105,ACH-RD-CH-0059,437468 - Poly (ethylene glycol) methacrylate Mn 750,,ul,NOT_SELECTED,Tally Sync not selected for this row,
106,ACH-RD-AB-0016,392 - Phospate,,ul,NOT_SELECTED,Tally Sync not selected for this row,
107,ACH-RD-CH-0060,158127 - Paraformaldehyde,,mg,NO_CHANGE,matches existing Tally item,10960
108,ACH-RD-AB-0017,100360 - Anti-H PRL 5602 - SP-1,,ug,NOT_SELECTED,Tally Sync not selected for this row,
109,ACH-RD-AB-0018,10XRBC Lysis Buffer,,ul,NOT_SELECTED,Tally Sync not selected for this row,
110,ACH-RD-AB-0019,P6031 - Protein A from staphylococcus aureus,,ug,NOT_SELECTED,Tally Sync not selected for this row,
111,ACH-RD-CH-0061,822A - Quantum CY 5 MESF,,Test,NOT_SELECTED,Tally Sync not selected for this row,
112,ACH-RD-AB-0020,IC050 - RF Absorbant - IGG Stripper,,ul,NOT_SELECTED,Tally Sync not selected for this row,
113,ACH-RD-AB-0021,393 - Phosphate,,ul,NOT_SELECTED,Tally Sync not selected for this row,
114,ACH-RD-CH-0062,K-1377 - Kanamycin Sulfate from Streptomyces kanamyceticus,,mg,NOT_SELECTED,Tally Sync not selected for this row,
115,ACH-RD-AB-0022,700017 - Anti Vitamin 25OH D2/D3,,ug,NOT_SELECTED,Tally Sync not selected for this row,
116,ACH-RD-CH-0063,T9285 - Tris- EDTA Buffer Solution,,ul,NOT_SELECTED,Tally Sync not selected for this row,
117,ACH-RD-AB-0023,S0677 - Streptavidin from Streptomyces,,ug,NOT_SELECTED,Tally Sync not selected for this row,
118,ACH-RD-AB-0024,100254 - Anti-h TSH 5407 SPTN-5,,ug,NO_CHANGE,matches existing Tally item,10928
119,ACH-RD-AB-0025,100034 - Anti-h TSH 5409 SPTN-5,,ug,NO_CHANGE,matches existing Tally item,10917
120,ACH-RD-AB-0026,65001 - Streptavidin C1,,ul,NOT_SELECTED,Tally Sync not selected for this row,
121,ACH-RD-CH-0064,H0345 - Trans - 2- Hexenal,,ul,UPDATE,unit differs: sheet='ul' vs tally='UI' (report only -- not auto-altered),11446
122,ACH-RD-CH-0065,75259 - Tris (2-carboxy ethyle) phosphine hydro chloride,,mg,NOT_SELECTED,Tally Sync not selected for this row,
123,ACH-RD-CH-0066,T6399 - Trichloroacetic Acid,,mg,NOT_SELECTED,Tally Sync not selected for this row,
124,ACH-RD-CH-0067,T9281 - NNNN Tetramethylethylenediamine,,ul,NOT_SELECTED,Tally Sync not selected for this row,
125,ACH-RD-CH-0068,2T61H1 - Anti Thyroxine,,ug,NO_CHANGE,matches existing Tally item,10994
126,ACH-RD-CH-0069,2T7 3A6 - Anti Triiodo Thyronine,,ug,NO_CHANGE,matches existing Tally item,10995
127,ACH-RD-CH-0070,"C4706 - Tris (2-Carboxy Ethyl), Phosphine Hydrochloride",,mg,NOT_SELECTED,Tally Sync not selected for this row,
128,ACH-RD-KT-0006,"Ichroma T3 Solution A,B",,Test,NOT_SELECTED,Tally Sync not selected for this row,
129,ACH-RD-KT-0007,Ichroma T3 Quantative Tests,,Test,NOT_SELECTED,Tally Sync not selected for this row,
130,ACH-RD-CH-0071,Ichroma T4 Quantative Tests,,Test,NOT_SELECTED,Tally Sync not selected for this row,
131,ACH-RD-KT-0008,"Ichroma T4 Solution A,B",,Test,NOT_SELECTED,Tally Sync not selected for this row,
132,ACH-RD-KT-0009,Ichroma Testosterone Detection Buffer,,Test,NOT_SELECTED,Tally Sync not selected for this row,
133,ACH-RD-KT-0010,Ichroma Testosterone Quantative Tests,,Test,NOT_SELECTED,Tally Sync not selected for this row,
134,ACH-RD-KT-0011,Ichroma TSH Plus Buffer,,Test,NOT_SELECTED,Tally Sync not selected for this row,
135,ACH-RD-KT-0012,Ichroma Vitamin D Quantative Tests,,Test,NOT_SELECTED,Tally Sync not selected for this row,
136,ACH-RD-FL-0021,Bioready Passive Conjugation Kit,,No,UPDATE,unit differs: sheet='No' vs tally='Nos' (report only -- not auto-altered),9570
137,ACH-RD-CH-0072,89891 - Giba Spin Desalting Columns 7KMWCO 5mL,,No,NOT_SELECTED,Tally Sync not selected for this row,
138,ACH-RD-FL-0022,B-1012-010 - Chromalink Biotin Malemide,,ug,NOT_SELECTED,Tally Sync not selected for this row,
139,ACH-RD-AB-0027,Anti - Thyroxine T3,,ug,NOT_SELECTED,Tally Sync not selected for this row,
140,ACH-RD-AB-0028,Anti - Thyroxine T4,,ug,NOT_SELECTED,Tally Sync not selected for this row,
141,ACH-RD-AB-0029,A23010067P - T3 Mab Pure,,ug,NOT_SELECTED,Tally Sync not selected for this row,
142,ACH-RD-AB-0030,2TS11 - TSH Antibody,,ug,NOT_SELECTED,Tally Sync not selected for this row,
143,ACH-RD-AB-0031,2T2 XM209,,ug,NOT_SELECTED,Tally Sync not selected for this row,
144,ACH-RD-FL-0023,ORB24435 - Testosterone,,ug,NOT_SELECTED,Tally Sync not selected for this row,
145,ACH-RD-FL-0024,MD01001 - Maxi STA 1.0,,ul,NOT_SELECTED,Tally Sync not selected for this row,
146,ACH-RD-CH-0073,M0960000 - European Pharmacopoeia - Reference Standard,,ug,NOT_SELECTED,Tally Sync not selected for this row,
147,ACH-RD-CH-0074,P-XYGLN-Xyloglucan (Tamarind),,mg,NOT_SELECTED,Tally Sync not selected for this row,
148,ACH-RD-KT-0013,Ichroma TSH,,Test,NOT_SELECTED,Tally Sync not selected for this row,
149,ACH-RD-AB-0032,Anti Vitamin D3,,ug,NOT_SELECTED,Tally Sync not selected for this row,
150,ACH-RD-AB-0033,Calibrators T4,,Test,NOT_SELECTED,Tally Sync not selected for this row,
151,ACH-RD-AB-0034,Calibrators - Testosterone,,Test,NOT_SELECTED,Tally Sync not selected for this row,
152,ACH-RD-AB-0035,8CY5 Recombinant human Cystatin C,,ug,NO_CHANGE,matches existing Tally item,9690
153,ACH-RD-AB-0036,MBS609092 - Mycobacterium Tuberculosis,,ug,NOT_SELECTED,Tally Sync not selected for this row,
154,ACH-RD-CH-0075,F-H130 - Bilirubin Conjugate,,ug,NOT_SELECTED,Tally Sync not selected for this row,
155,ACH-RD-CH-0076,DENVX4-NS1-100 - Dengue Virus NS1 Protrien Serotype Pack (4),,No,NOT_SELECTED,Tally Sync not selected for this row,
156,ACH-RD-CM-0001,"655906 - 96 Well Microplate, ÂµClearÂ®, PS, F-Bottom (Chimney Well), Black, Non-Binding",,No,NOT_SELECTED,Tally Sync not selected for this row,
157,ACH-RD-CH-0077,C8667 - Cholesterol,,mg,NO_CHANGE,matches existing Tally item,11215
158,ACH-RD-CH-0078,704369 - Poly (ethyl glycol) Dithiol,,mg,NOT_SELECTED,Tally Sync not selected for this row,
159,ACH-RD-CH-0079,C-8868 - Cholesterol Oxidase from Brevi Bactrium SP,,No,NOT_SELECTED,Tally Sync not selected for this row,
160,ACH-RD-AB-0037,Q0329 - Polyclonal Rabbit Anti Human C Reactive Protein,,ul,NOT_SELECTED,Tally Sync not selected for this row,
161,ACH-RD-AB-0038,LCO-301 - Lactate Oxidase,,No,NOT_SELECTED,Tally Sync not selected for this row,
162,ACH-RD-CH-0080,15529-01 - Ultra pure IPTG (ISO Propylthio Beta - D Galactoside),,mg,NOT_SELECTED,Tally Sync not selected for this row,
163,ACH-RD-CH-0081,15520-034 - Ultra pure X-Gal (5-Gromo-4-Cholo-3 Indolyl B-Galacloside,,ug,NOT_SELECTED,Tally Sync not selected for this row,
164,ACH-RD-AB-0039,21121 - Pierce Avidin,,ug,NOT_SELECTED,Tally Sync not selected for this row,
165,ACH-RD-FL-0025,HA-6011 - Hyaluronate Biotin,,ug,NOT_SELECTED,Tally Sync not selected for this row,
166,ACH-RD-CH-0082,C7025 - Carbonic Anhydrase from bovine erythrocytes,,No,NOT_SELECTED,Tally Sync not selected for this row,
167,ACH-RD-CH-0083,49180 - Glucose Oxidase from Aspergillus niger,,ug,NOT_SELECTED,Tally Sync not selected for this row,
168,ACH-RD-CH-0084,H5388 - Hyaluronic Acid Sodium Sault,,ug,NOT_SELECTED,Tally Sync not selected for this row,
169,ACH-RD-AB-0040,108-036-003 - Peroxidase Conjugated Affinipure (AB)2-Fragmant Goat Anti Horse IgG,,ul,NOT_SELECTED,Tally Sync not selected for this row,
170,ACH-RD-CH-0085,53747 -Hyaluronic acid sodium salt from Streptococcus equi,,mg,NOT_SELECTED,Tally Sync not selected for this row,
171,ACH-RD-CH-0086,O1008 - Oleic Acid,,mg,NOT_SELECTED,Tally Sync not selected for this row,
172,ACH-RD-FL-0026,PHB-1986 - AC-Peg - NH2,,ug,NOT_SELECTED,Tally Sync not selected for this row,
173,ACH-RD-CH-0087,12575-015 - AcTEV Protease,,No,NOT_SELECTED,Tally Sync not selected for this row,
174,ACH-RD-AB-0041,P6031 - Protein A from staphylococcus Aureus Soluble,,ug,NOT_SELECTED,Tally Sync not selected for this row,
175,ACH-RD-CH-0088,43720 - NN - Disuccinimidyl Carbonate,,mg,NOT_SELECTED,Tally Sync not selected for this row,
176,ACH-RD-FL-0027,568864 - Fluorescein O-methacrylate,,ug,NOT_SELECTED,Tally Sync not selected for this row,
177,ACH-RD-CH-0089,PHB-960- AC-PEG-SCM,,ug,NOT_SELECTED,Tally Sync not selected for this row,
178,ACH-RD-CH-0090,"M3671 - MES, low moisture content",,mg,NOT_SELECTED,Tally Sync not selected for this row,
179,ACH-RD-CH-0091,PHR1237 - Cholecalciferol Vitamin D3,,ug,NOT_SELECTED,Tally Sync not selected for this row,
180,ACH-RD-CH-0092,T7513 - Thrombin from bovine plasma,,No,NOT_SELECTED,Tally Sync not selected for this row,
181,ACH-RD-AB-0042,710070 - Vitamin D Antigen NH2,,ug,NOT_SELECTED,Tally Sync not selected for this row,
182,ACH-RD-CH-0093,L1376 - Linoleic Acid,,ug,NOT_SELECTED,Tally Sync not selected for this row,
183,ACH-RD-AB-0043,HOR-249 - FSH Human,,ug,NOT_SELECTED,Tally Sync not selected for this row,
184,ACH-RD-CH-0094,E7750 - N-3-Dimethyle Amino Propyl N-Ethyl Carbo Diamide Hydrochloride,,mg,NOT_SELECTED,Tally Sync not selected for this row,
185,ACH-RD-AB-0044,M8642 - Anti-Mouse IgG (whole molecule) antibody produced in goat,,ug,NOT_SELECTED,Tally Sync not selected for this row,
186,ACH-RD-CH-0095,BA00849978-001,,ul,NOT_SELECTED,Tally Sync not selected for this row,
187,ACH-RD-AB-0045,710048 - Vitamin D Antigen BSA Conjugate,,ug,NOT_SELECTED,Tally Sync not selected for this row,
188,ACH-RD-CH-0096,C125700 - Calcifediol,,ug,NOT_SELECTED,Tally Sync not selected for this row,
189,ACH-RD-CH-0097,BA00849979-001,,ul,NOT_SELECTED,Tally Sync not selected for this row,
190,ACH-RD-CH-0098,94285 - Urease From Canavalia Ensiformis,,ug,NOT_SELECTED,Tally Sync not selected for this row,
191,ACH-RD-CH-0099,P6282 - Poly-L-Lysine Hydro Bromide,,ug,NOT_SELECTED,Tally Sync not selected for this row,
192,ACH-RD-FL-0028,1854200 -Sulfo NHS Biotin,,ug,NOT_SELECTED,Tally Sync not selected for this row,
193,ACH-RD-FL-0029,Fluorescein - PEG-NHS,,ug,NOT_SELECTED,Tally Sync not selected for this row,
194,ACH-RD-CH-0100,H995835 - 25 Hydroxy Vitamin D3 3.3 Amino Prophyl Ether,,ug,NOT_SELECTED,Tally Sync not selected for this row,
195,ACH-RD-BG-0001,"88/638 - Thyroxine-binding globulin. WHO, International Standard",,No,NOT_SELECTED,Tally Sync not selected for this row,
196,ACH-RD-FL-0030,PJK-1971 -Biotin Peg AC,,mg,NOT_SELECTED,Tally Sync not selected for this row,
197,ACH-RD-CH-0101,A2883 - L-Agrine Ethyl Easter Dihydro Chloride,,mg,NOT_SELECTED,Tally Sync not selected for this row,
198,ACH-RD-CH-0102,H3884 - Hyaluronidase from Bovine Tests,,ug,NOT_SELECTED,Tally Sync not selected for this row,
199,ACH-RD-CH-0103,G7141 - Glucose Oxidase from Asper Gillus Niger,,No,NOT_SELECTED,Tally Sync not selected for this row,
200,ACH-RD-CH-0104,729094 - Poly(ethylene glycol) diacrylate 10000,,mg,NOT_SELECTED,Tally Sync not selected for this row,
201,ACH-RD-CH-0105,701963 - Poly (ethylene glycol) diacrylate 6000,,mg,NOT_SELECTED,Tally Sync not selected for this row,
202,ACH-RD-CH-0106,A3913 - L-Argininamide dihydrochloride,,mg,NOT_SELECTED,Tally Sync not selected for this row,
203,ACH-RD-FL-0031,21325 - EZ-Link NHS Chromogenic Biotin,,ug,NOT_SELECTED,Tally Sync not selected for this row,
204,ACH-RD-AB-0046,10-T25C - TSH Beta Antibody,,,NO_CHANGE,matches existing Tally item,10912
205,ACH-RD-CH-0107,T2501 - L Thyroxine Sodium Sault Penta Hydrate,,mg,NOT_SELECTED,Tally Sync not selected for this row,
206,ACH-RD-CH-0108,HE003023 - SH-PEG-SC,,mg,REVIEW,duplicate Item Name within Master List,
207,ACH-RD-CH-0109,HE003023 - SH-PEG-SC,,mg,REVIEW,duplicate Item Name within Master List,
208,ACH-RD-CH-0110,"T2752 - 3,3,5 - Triiodo L Thyronine Sodium Salt",,mg,NOT_SELECTED,Tally Sync not selected for this row,
209,ACH-RD-CH-0111,ICP1322 - Triidio Thyronine - BSA Conjugate,,ug,NOT_SELECTED,Tally Sync not selected for this row,
210,ACH-RD-CH-0112,"T6397 - 3,3,5 Trridio Lthyronine Sodium Salt",,ug,NOT_SELECTED,Tally Sync not selected for this row,
211,ACH-RD-CH-0113,DENVX4-NS1-100 - Dengue Virus NS1 Protein Serotype Pack,,ug,NO_CHANGE,matches existing Tally item,11326
212,ACH-RD-CH-0114,R01538 - Leptospira Interrogans Recomb,,ug,NOT_SELECTED,Tally Sync not selected for this row,
213,ACH-RD-AB-0047,10-3419 - Human IGM Antibody,,ug,NO_CHANGE,matches existing Tally item,10910
214,ACH-RD-AB-0048,10-3150 - Human IGG Antibody,,ug,NO_CHANGE,matches existing Tally item,10911
215,ACH-RD-AB-0049,10-2697 - Malaria Pan PLDH Antibody,,ug,UPDATE,unit differs: sheet='ug' vs tally='MG' (report only -- not auto-altered),9646
216,ACH-RD-AB-0050,10-2694 - Malaria Pan PLDH Antibody,,ug,NOT_SELECTED,Tally Sync not selected for this row,
217,ACH-RD-BG-0002,"84/500 - Prolactin, Human. WHO International Standard",,No,NOT_SELECTED,Tally Sync not selected for this row,
218,ACH-RD-AB-0051,LA512-CO524 Respiratory Syncytial Virus (RSV-fusion) Antigen,,ug,NOT_SELECTED,Tally Sync not selected for this row,
219,ACH-RD-AB-0052,Ab201795 - Biotin Conjuction Kit,,ug,NO_CHANGE,matches existing Tally item,11128
220,ACH-RD-AB-0053,Ab269889 - Europium Conjuction Kit,,ug,NO_CHANGE,matches existing Tally item,11129
221,ACH-RD-AB-0054,40592 - Recombinant SARS Covi II - Spike RBD MFC Recomb Protien,,ug,NO_CHANGE,matches existing Tally item,11029
