Status,Master Item Name,Tally Item Name,Master Row,Tally MASTERID,Tally GUID,Tally Parent,Tally Unit,Match Type,Difference
MATCH_EXACT,B6916-Bradford Reagent,B6916-Bradford Reagent,21,11165,78389433-1b86-42de-bf30-a357884c54ea-00002b9d,R&D Inventory,UI,EXACT,
MISSING_FROM_TALLY,B684970 - 2-Bromo 17 beta estradiol,,22,,,,,,
MISSING_FROM_TALLY,"C1063 - Chorionic Gonadotropin, Human",,23,,,,,,
MISSING_FROM_TALLY,Chikungunya IGM ELISA - MicroLisa,,24,,,,,,
MATCH_EXACT,CdTe Quantum Dots,CdTe Quantum Dots,25,11219,78389433-1b86-42de-bf30-a357884c54ea-00002bd3,R&D Inventory,UG,EXACT,
MISSING_FROM_TALLY,Dengue IGM ELISA - MicroLisa,,26,,,,,,
MISSING_FROM_TALLY,Dengue IGG ELISA-MicroLisa,,27,,,,,,
MISSING_FROM_TALLY,522953-Dodecylbenzenesulfonic Acid 70 wt% Solution in 2-proponal,,28,,,,,,
MISSING_FROM_TALLY,D0632-DL-Dithiothreitol,,29,,,,,,
MISSING_FROM_TALLY,375.1% -Carboxylate -1.5 Mmol/g,,30,,,,,,
MISSING_FROM_TALLY,CMS095 - D-Biotin,,31,,,,,,
MISSING_FROM_TALLY,DY-647P4-NHS-Easter,,32,,,,,,
MISSING_FROM_TALLY,DY-647P4-NHS-Easter,,33,,,,,,
MISSING_FROM_TALLY,DY-634-NHS-Easter,,34,,,,,,
MISSING_FROM_TALLY,DY-649-NHS-Easter,,35,,,,,,
MISSING_FROM_TALLY,DY-649P1-NHS-Easter,,36,,,,,,
MISSING_FROM_TALLY,DY-651-Amin,,37,,,,,,
MISSING_FROM_TALLY,DY-654-Amin,,38,,,,,,
MISSING_FROM_TALLY,DY-634-Amin,,39,,,,,,
MISSING_FROM_TALLY,DY-654-NHS-Easter,,40,,,,,,
MISSING_FROM_TALLY,DY-634-Maleimide,,41,,,,,,
MISSING_FROM_TALLY,E5630-B-Estradiol - 6()-Carboxmethtl) oxime-BSA,,42,,,,,,
MISSING_FROM_TALLY,FD250S-Fluorescein isothiocyanate dextran,,43,,,,,,
MISSING_FROM_TALLY,FD2000S - Fluorescein isothiocyanate dextran,,44,,,,,,
MISSING_FROM_TALLY,FD500S -Fluorescein isothiocyanate dextran,,45,,,,,,
MISSING_FROM_TALLY,19773-Fluoresbrite BB Carboxylate Microspheres 0.05um,,46,,,,,,
MISSING_FROM_TALLY,16661-Fluoresbrite YG Carboxylate Microspheres 0.05um,,47,,,,,,
MATCH_EXACT,100022-Anti-H LH-5304-SP-5,100022-Anti-H LH-5304-SP-5,48,10914,78389433-1b86-42de-bf30-a357884c54ea-00002aa2,R&D Inventory,UG,EXACT,
MISSING_FROM_TALLY,22586-DSP Dithiobis (succinimidylpropionate),,49,,,,,,
MISSING_FROM_TALLY,ML014 - 0.5 M EDTA pH 8.0 Used in various Molecular Biology Applications,,50,,,,,,
MISSING_FROM_TALLY,ML014 - 0.5 M EDTA pH 8.0 Used in various Molecular Biology Applications,,51,,,,,,
MISSING_FROM_TALLY,F1141 - Fibronectin 0.1% Solution from Bovine Plasa,,52,,,,,,
MISSING_FROM_TALLY,Fluoro-Max - Carboxylate-Modified Died Macroparticles,,53,,,,,,
MISSING_FROM_TALLY,Fibrinogen Reagent- Thrombine,,54,,,,,,
MISSING_FROM_TALLY,GSXR150 - Bioready Gold Nanoshells,,55,,,,,,
MISSING_FROM_TALLY,H7379 Hemoglobin Human,,56,,,,,,
MATCH_EXACT,467804-Hydroxylamine Solution,467804-Hydroxylamine Solution,57,11038,78389433-1b86-42de-bf30-a357884c54ea-00002b1e,R&D Inventory,UI,EXACT,
MISSING_FROM_TALLY,MBS173396 Human Serum Albumin - Protease Free,,58,,,,,,
MISSING_FROM_TALLY,477028 - Hydroxyenthel methacrylate,,59,,,,,,
MISSING_FROM_TALLY,G0383- Gentamicin Sulphate,,60,,,,,,
MISSING_FROM_TALLY,254169 - Gold (III) Chloride Hydrate,,61,,,,,,
MATCH_EXACT,100011 - Anti-HCG - 5014 - SPTN-5,100011 - Anti-HCG - 5014 - SPTN-5,62,10913,78389433-1b86-42de-bf30-a357884c54ea-00002aa1,R&D Inventory,UG,EXACT,
MISSING_FROM_TALLY,P01-29342 -Anti Hemoglobin Polyclonal Antibody,,63,,,,,,
MISSING_FROM_TALLY,Anti-HCG 2H8 Mab F1,,64,,,,,,
MISSING_FROM_TALLY,H3375-HEPES,,65,,,,,,
MISSING_FROM_TALLY,107689 - Hexadimethrine bromide,,66,,,,,,
MISSING_FROM_TALLY,477028-2-Hydroxyethyl methacrylate 99%,,67,,,,,,
MISSING_FROM_TALLY,308633 - 2-Hydroxyethyl Cellulose,,68,,,,,,
MISSING_FROM_TALLY,"475807 - Glycerol 1,3-diglycerolate diacrylate",,69,,,,,,
MISSING_FROM_TALLY,I6256-2-Iminothiolane hydrochloride,,70,,,,,,
MISSING_FROM_TALLY,I6758 - Isopropyl B-D-1thiogalactopyranoside,,71,,,,,,
MISSING_FROM_TALLY,33015 - ImmunoPure AMCA - Hydrazide,,72,,,,,,
MISSING_FROM_TALLY,I5381 - IGG from Mouse Serum,,73,,,,,,
MISSING_FROM_TALLY,160050 - Liquid Plate Sealer,,74,,,,,,
MISSING_FROM_TALLY,160050 - Liquid Plate Sealer,,75,,,,,,
MISSING_FROM_TALLY,MB098-Lysozyme,,76,,,,,,
MISSING_FROM_TALLY,MB098-Lysozyme,,77,,,,,,
MATCH_NORMALIZED,"900889-Lithium Phenyl -2, 4,6 - Trimethylbenzene - Yl phosphonate","900889-Lithium Phenyl -2, 4,6 - Trimethylbenzene - Yl  phosphonate",78,11109,78389433-1b86-42de-bf30-a357884c54ea-00002b65,R&D Inventory,MG,NORMALIZED,whitespace/case normalization
MISSING_FROM_TALLY,100019 - Anti-H LH 5303 SPRN-1,,79,,,,,,
MISSING_FROM_TALLY,Lepto IGM Microlisa,,80,,,,,,
MISSING_FROM_TALLY,L9017- Lectin from Fahseolusvulgaris,,81,,,,,,
MISSING_FROM_TALLY,HCGCD- Monoclonal Antibodt HCG,,82,,,,,,
MISSING_FROM_TALLY,MIDARDI Cartridge,,83,,,,,,
MISSING_FROM_TALLY,C1063 - Chorionic gonadotropin Human,,84,,,,,,
MISSING_FROM_TALLY,M6500-Cysteamine Hydrochloride,,85,,,,,,
MISSING_FROM_TALLY,2-Bromo 17B-Estradial,,86,,,,,,
MISSING_FROM_TALLY,Fluidmag-CT,,87,,,,,,
MISSING_FROM_TALLY,P8375 - Peroxidase from horseradish,,88,,,,,,
MISSING_FROM_TALLY,77332- Peroxidase from horseradish,,89,,,,,,
MISSING_FROM_TALLY,P0012-02 - Rabitt Anti Goat IGG Absorbed,,90,,,,,,
MISSING_FROM_TALLY,100038 - Anti-H PRL 5601 - SP-1,,91,,,,,,
MISSING_FROM_TALLY,P3277 - Progesterone,,92,,,,,,
MISSING_FROM_TALLY,NO1275H - Hama Serum,,93,,,,,,
MISSING_FROM_TALLY,A01270H - Rheumatoid Factor CTRL Plasma,,94,,,,,,
MISSING_FROM_TALLY,122-49 - Carbon Coinductive Link,,95,,,,,,
MISSING_FROM_TALLY,113-12 - Thinner Solvent,,96,,,,,,
MISSING_FROM_TALLY,Ni-NTA Agarose,,97,,,,,,
MISSING_FROM_TALLY,"655201 -Poly (3,4-ethylendioxythiophene) - Poly (styrene sulfonate) Formulations for high conductivity coatings",,98,,,,,,
MATCH_EXACT,455008 - Poly (ethylene glycol) diacrylate,455008 - Poly (ethylene glycol) diacrylate,99,11036,78389433-1b86-42de-bf30-a357884c54ea-00002b1c,R&D Inventory,UI,EXACT,
MATCH_EXACT,455008 - Poly (ethylene glycol) diacrylate,455008 - Poly (ethylene glycol) diacrylate,100,11036,78389433-1b86-42de-bf30-a357884c54ea-00002b1c,R&D Inventory,UI,EXACT,
MISSING_FROM_TALLY,447943 - Poly (ethylene glycol) methyl ethier methacrylate,,101,,,,,,
MISSING_FROM_TALLY,469815 - Poly (propylene glycol) acrylate,,102,,,,,,
MISSING_FROM_TALLY,475629 - Poly (ethylene glycol) diacrylate,,103,,,,,,
MISSING_FROM_TALLY,409510 - Poly (ethylene glycol) methacrylate,,104,,,,,,
MISSING_FROM_TALLY,437468 - Poly (ethylene glycol) methacrylate Mn 750,,105,,,,,,
MISSING_FROM_TALLY,392 - Phospate,,106,,,,,,
MATCH_EXACT,158127 - Paraformaldehyde,158127 - Paraformaldehyde,107,10960,78389433-1b86-42de-bf30-a357884c54ea-00002ad0,R&D Inventory,MG,EXACT,
MISSING_FROM_TALLY,100360 - Anti-H PRL 5602 - SP-1,,108,,,,,,
MISSING_FROM_TALLY,10XRBC Lysis Buffer,,109,,,,,,
MISSING_FROM_TALLY,P6031 - Protein A from staphylococcus aureus,,110,,,,,,
MISSING_FROM_TALLY,822A - Quantum CY 5 MESF,,111,,,,,,
MISSING_FROM_TALLY,IC050 - RF Absorbant - IGG Stripper,,112,,,,,,
MISSING_FROM_TALLY,393 - Phosphate,,113,,,,,,
MISSING_FROM_TALLY,K-1377 - Kanamycin Sulfate from Streptomyces kanamyceticus,,114,,,,,,
MISSING_FROM_TALLY,700017 - Anti Vitamin 25OH D2/D3,,115,,,,,,
MISSING_FROM_TALLY,T9285 - Tris- EDTA Buffer Solution,,116,,,,,,
MISSING_FROM_TALLY,S0677 - Streptavidin from Streptomyces,,117,,,,,,
MATCH_EXACT,100254 - Anti-h TSH 5407 SPTN-5,100254 - Anti-h TSH 5407 SPTN-5,118,10928,78389433-1b86-42de-bf30-a357884c54ea-00002ab0,R&D Inventory,UG,EXACT,
MATCH_EXACT,100034 - Anti-h TSH 5409 SPTN-5,100034 - Anti-h TSH 5409 SPTN-5,119,10917,78389433-1b86-42de-bf30-a357884c54ea-00002aa5,R&D Inventory,UG,EXACT,
MISSING_FROM_TALLY,65001 - Streptavidin C1,,120,,,,,,
MISSING_FROM_TALLY,H0345 - Trans - 2- Hexenal,,121,,,,,,
MISSING_FROM_TALLY,75259 - Tris (2-carboxy ethyle) phosphine hydro chloride,,122,,,,,,
MISSING_FROM_TALLY,T6399 - Trichloroacetic Acid,,123,,,,,,
MISSING_FROM_TALLY,T9281 - NNNN Tetramethylethylenediamine,,124,,,,,,
MATCH_EXACT,2T61H1 - Anti Thyroxine,2T61H1 - Anti Thyroxine,125,10994,78389433-1b86-42de-bf30-a357884c54ea-00002af2,R&D Inventory,UG,EXACT,
MATCH_EXACT,2T7 3A6 - Anti Triiodo Thyronine,2T7 3A6 - Anti Triiodo Thyronine,126,10995,78389433-1b86-42de-bf30-a357884c54ea-00002af3,R&D Inventory,UG,EXACT,
MISSING_FROM_TALLY,"C4706 - Tris (2-Carboxy Ethyl), Phosphine Hydrochloride",,127,,,,,,
MISSING_FROM_TALLY,"Ichroma T3 Solution A,B",,128,,,,,,
MISSING_FROM_TALLY,Ichroma T3 Quantative Tests,,129,,,,,,
MISSING_FROM_TALLY,Ichroma T4 Quantative Tests,,130,,,,,,
MISSING_FROM_TALLY,"Ichroma T4 Solution A,B",,131,,,,,,
MISSING_FROM_TALLY,Ichroma Testosterone Detection Buffer,,132,,,,,,
MISSING_FROM_TALLY,Ichroma Testosterone Quantative Tests,,133,,,,,,
MISSING_FROM_TALLY,Ichroma TSH Plus Buffer,,134,,,,,,
MISSING_FROM_TALLY,Ichroma Vitamin D Quantative Tests,,135,,,,,,
MATCH_NORMALIZED,Bioready Passive Conjugation Kit,BioReady Passive Conjugation Kit,136,9570,78389433-1b86-42de-bf30-a357884c54ea-00002562,R&D Inventory,Nos,NORMALIZED,case difference
MISSING_FROM_TALLY,89891 - Giba Spin Desalting Columns 7KMWCO 5mL,,137,,,,,,
MISSING_FROM_TALLY,B-1012-010 - Chromalink Biotin Malemide,,138,,,,,,
MISSING_FROM_TALLY,Anti - Thyroxine T3,,139,,,,,,
MISSING_FROM_TALLY,Anti - Thyroxine T4,,140,,,,,,
MISSING_FROM_TALLY,A23010067P - T3 Mab Pure,,141,,,,,,
MISSING_FROM_TALLY,2TS11 - TSH Antibody,,142,,,,,,
MISSING_FROM_TALLY,2T2 XM209,,143,,,,,,
MISSING_FROM_TALLY,ORB24435 - Testosterone,,144,,,,,,
MISSING_FROM_TALLY,MD01001 - Maxi STA 1.0,,145,,,,,,
MISSING_FROM_TALLY,M0960000 - European Pharmacopoeia - Reference Standard,,146,,,,,,
MISSING_FROM_TALLY,P-XYGLN-Xyloglucan (Tamarind),,147,,,,,,
MISSING_FROM_TALLY,Ichroma TSH,,148,,,,,,
MISSING_FROM_TALLY,Anti Vitamin D3,,149,,,,,,
MISSING_FROM_TALLY,Calibrators T4,,150,,,,,,
MISSING_FROM_TALLY,Calibrators - Testosterone,,151,,,,,,
MATCH_EXACT,8CY5 Recombinant human Cystatin C,8CY5 Recombinant human Cystatin C,152,9690,78389433-1b86-42de-bf30-a357884c54ea-000025da,R&D Inventory,UG,EXACT,
MISSING_FROM_TALLY,MBS609092 - Mycobacterium Tuberculosis,,153,,,,,,
MISSING_FROM_TALLY,F-H130 - Bilirubin Conjugate,,154,,,,,,
MISSING_FROM_TALLY,DENVX4-NS1-100 - Dengue Virus NS1 Protrien Serotype Pack (4),,155,,,,,,
MISSING_FROM_TALLY,"655906 - 96 Well Microplate, ÂµClearÂ®, PS, F-Bottom (Chimney Well), Black, Non-Binding",,156,,,,,,
MATCH_EXACT,C8667 - Cholesterol,C8667 - Cholesterol,157,11215,78389433-1b86-42de-bf30-a357884c54ea-00002bcf,R&D Inventory,MG,EXACT,
MISSING_FROM_TALLY,704369 - Poly (ethyl glycol) Dithiol,,158,,,,,,
MISSING_FROM_TALLY,C-8868 - Cholesterol Oxidase from Brevi Bactrium SP,,159,,,,,,
MISSING_FROM_TALLY,Q0329 - Polyclonal Rabbit Anti Human C Reactive Protein,,160,,,,,,
MISSING_FROM_TALLY,LCO-301 - Lactate Oxidase,,161,,,,,,
MISSING_FROM_TALLY,15529-01 - Ultra pure IPTG (ISO Propylthio Beta - D Galactoside),,162,,,,,,
MISSING_FROM_TALLY,15520-034 - Ultra pure X-Gal (5-Gromo-4-Cholo-3 Indolyl B-Galacloside,,163,,,,,,
MISSING_FROM_TALLY,21121 - Pierce Avidin,,164,,,,,,
MISSING_FROM_TALLY,HA-6011 - Hyaluronate Biotin,,165,,,,,,
MISSING_FROM_TALLY,C7025 - Carbonic Anhydrase from bovine erythrocytes,,166,,,,,,
MISSING_FROM_TALLY,49180 - Glucose Oxidase from Aspergillus niger,,167,,,,,,
MISSING_FROM_TALLY,H5388 - Hyaluronic Acid Sodium Sault,,168,,,,,,
MISSING_FROM_TALLY,108-036-003 - Peroxidase Conjugated Affinipure (AB)2-Fragmant Goat Anti Horse IgG,,169,,,,,,
MISSING_FROM_TALLY,53747 -Hyaluronic acid sodium salt from Streptococcus equi,,170,,,,,,
MISSING_FROM_TALLY,O1008 - Oleic Acid,,171,,,,,,
MISSING_FROM_TALLY,PHB-1986 - AC-Peg - NH2,,172,,,,,,
MISSING_FROM_TALLY,12575-015 - AcTEV Protease,,173,,,,,,
MISSING_FROM_TALLY,P6031 - Protein A from staphylococcus Aureus Soluble,,174,,,,,,
MISSING_FROM_TALLY,43720 - NN - Disuccinimidyl Carbonate,,175,,,,,,
MISSING_FROM_TALLY,568864 - Fluorescein O-methacrylate,,176,,,,,,
MISSING_FROM_TALLY,PHB-960- AC-PEG-SCM,,177,,,,,,
MISSING_FROM_TALLY,"M3671 - MES, low moisture content",,178,,,,,,
MISSING_FROM_TALLY,PHR1237 - Cholecalciferol Vitamin D3,,179,,,,,,
MISSING_FROM_TALLY,T7513 - Thrombin from bovine plasma,,180,,,,,,
MISSING_FROM_TALLY,710070 - Vitamin D Antigen NH2,,181,,,,,,
MISSING_FROM_TALLY,L1376 - Linoleic Acid,,182,,,,,,
MISSING_FROM_TALLY,HOR-249 - FSH Human,,183,,,,,,
MISSING_FROM_TALLY,E7750 - N-3-Dimethyle Amino Propyl N-Ethyl Carbo Diamide Hydrochloride,,184,,,,,,
MISSING_FROM_TALLY,M8642 - Anti-Mouse IgG (whole molecule) antibody produced in goat,,185,,,,,,
MISSING_FROM_TALLY,BA00849978-001,,186,,,,,,
MISSING_FROM_TALLY,710048 - Vitamin D Antigen BSA Conjugate,,187,,,,,,
MISSING_FROM_TALLY,C125700 - Calcifediol,,188,,,,,,
MISSING_FROM_TALLY,BA00849979-001,,189,,,,,,
MISSING_FROM_TALLY,94285 - Urease From Canavalia Ensiformis,,190,,,,,,
MISSING_FROM_TALLY,P6282 - Poly-L-Lysine Hydro Bromide,,191,,,,,,
MISSING_FROM_TALLY,1854200 -Sulfo NHS Biotin,,192,,,,,,
MISSING_FROM_TALLY,Fluorescein - PEG-NHS,,193,,,,,,
MISSING_FROM_TALLY,H995835 - 25 Hydroxy Vitamin D3 3.3 Amino Prophyl Ether,,194,,,,,,
MISSING_FROM_TALLY,"88/638 - Thyroxine-binding globulin. WHO, International Standard",,195,,,,,,
MISSING_FROM_TALLY,PJK-1971 -Biotin Peg AC,,196,,,,,,
MISSING_FROM_TALLY,A2883 - L-Agrine Ethyl Easter Dihydro Chloride,,197,,,,,,
MISSING_FROM_TALLY,H3884 - Hyaluronidase from Bovine Tests,,198,,,,,,
MISSING_FROM_TALLY,G7141 - Glucose Oxidase from Asper Gillus Niger,,199,,,,,,
MISSING_FROM_TALLY,729094 - Poly(ethylene glycol) diacrylate 10000,,200,,,,,,
MISSING_FROM_TALLY,701963 - Poly (ethylene glycol) diacrylate 6000,,201,,,,,,
MISSING_FROM_TALLY,A3913 - L-Argininamide dihydrochloride,,202,,,,,,
MISSING_FROM_TALLY,21325 - EZ-Link NHS Chromogenic Biotin,,203,,,,,,
MATCH_EXACT,10-T25C - TSH Beta Antibody,10-T25C - TSH Beta Antibody,204,10912,78389433-1b86-42de-bf30-a357884c54ea-00002aa0,R&D Inventory,UG,EXACT,
MISSING_FROM_TALLY,T2501 - L Thyroxine Sodium Sault Penta Hydrate,,205,,,,,,
MISSING_FROM_TALLY,HE003023 - SH-PEG-SC,,206,,,,,,
MISSING_FROM_TALLY,HE003023 - SH-PEG-SC,,207,,,,,,
MISSING_FROM_TALLY,"T2752 - 3,3,5 - Triiodo L Thyronine Sodium Salt",,208,,,,,,
MISSING_FROM_TALLY,ICP1322 - Triidio Thyronine - BSA Conjugate,,209,,,,,,
MISSING_FROM_TALLY,"T6397 - 3,3,5 Trridio Lthyronine Sodium Salt",,210,,,,,,
MISSING_FROM_TALLY,DENVX4-NS1-100 - Dengue Virus NS1 Protein Serotype Pack,,211,,,,,,
MISSING_FROM_TALLY,R01538 - Leptospira Interrogans Recomb,,212,,,,,,
MATCH_EXACT,10-3419 - Human IGM Antibody,10-3419 - Human IGM Antibody,213,10910,78389433-1b86-42de-bf30-a357884c54ea-00002a9e,R&D Inventory,UG,EXACT,
MATCH_EXACT,10-3150 - Human IGG Antibody,10-3150 - Human IGG Antibody,214,10911,78389433-1b86-42de-bf30-a357884c54ea-00002a9f,R&D Inventory,UG,EXACT,
MISSING_FROM_TALLY,10-2697 - Malaria Pan PLDH Antibody,,215,,,,,,
MISSING_FROM_TALLY,10-2694 - Malaria Pan PLDH Antibody,,216,,,,,,
MISSING_FROM_TALLY,"84/500 - Prolactin, Human. WHO International Standard",,217,,,,,,
MISSING_FROM_TALLY,LA512-CO524 Respiratory Syncytial Virus (RSV-fusion) Antigen,,218,,,,,,
MATCH_EXACT,Ab201795 - Biotin Conjuction Kit,Ab201795 - Biotin Conjuction Kit,219,11128,78389433-1b86-42de-bf30-a357884c54ea-00002b78,R&D Inventory,UG,EXACT,
MATCH_EXACT,Ab269889 - Europium Conjuction Kit,Ab269889 - Europium Conjuction Kit,220,11129,78389433-1b86-42de-bf30-a357884c54ea-00002b79,R&D Inventory,UG,EXACT,
MATCH_EXACT,40592 - Recombinant SARS Covi II - Spike RBD MFC Recomb Protien,40592 - Recombinant SARS Covi II - Spike RBD MFC Recomb Protien,221,11029,78389433-1b86-42de-bf30-a357884c54ea-00002b15,R&D Inventory,UG,EXACT,
MISSING_FROM_TALLY,"31390 - Dextran from Leuconostoc spp. - Mr-70,000",,222,,,,,,
MISSING_FROM_TALLY,9892G - DNA ZAP - Solution Two - Completelydegrades allDNA and RNA contamination from glass and plastic surfaces,,223,,,,,,
MISSING_FROM_TALLY,9892G - DNA ZAP - Solution One - Completelydegrades allDNA and RNA contamination from glass and plastic surfaces,,224,,,,,,
MATCH_EXACT,"31388 - Dextran from Leuconostoc spp Mr - 6,000","31388 - Dextran from Leuconostoc spp Mr - 6,000",225,11001,78389433-1b86-42de-bf30-a357884c54ea-00002af9,R&D Inventory,MG,EXACT,
MISSING_FROM_TALLY,"09184 - F - Dextran from Leuconostoc spp Mr-100,000",,226,,,,,,
MISSING_FROM_TALLY,D2004- 4-(Dimethylamino)benzaldehyde,,227,,,,,,
MISSING_FROM_TALLY,359025 - Didodecyldimethylammonium bromide,,228,,,,,,
MISSING_FROM_TALLY,D8130 - 5.5 Dithiobis (2-nitrobenzoic acid),,229,,,,,,
MISSING_FROM_TALLY,646563 -DL-Dithiothreitol solution,,230,,,,,,
MISSING_FROM_TALLY,7612.1 - Dextransulfat 40 Natriumsalz for dieBiochemie,,231,,,,,,
MISSING_FROM_TALLY,E5134 - Ethylenediaminetetraacetic acid disodium salt dithydrate 99%,,232,,,,,,
MISSING_FROM_TALLY,"D21, 820-0 5.5 Dithiobis (2 nitrobenzoic acid) 99%",,233,,,,,,
MISSING_FROM_TALLY,23585 - Ferric Chloride,,234,,,,,,
MISSING_FROM_TALLY,455547 - Faerroceneboronic acid,,235,,,,,,
MISSING_FROM_TALLY,F4381 - Furosemide,,236,,,,,,
MISSING_FROM_TALLY,E4009 - Eosin Y,,237,,,,,,
MISSING_FROM_TALLY,E8875 - B-Estradiol,,238,,,,,,
MISSING_FROM_TALLY,17220 (054817) (1239-45-8) - Ethidium Bromide,,239,,,,,,
MISSING_FROM_TALLY,F4375 - Ficoll PM 400,,240,,,,,,
MISSING_FROM_TALLY,50046 - Glycine,,241,,,,,,
MISSING_FROM_TALLY,D7528 - D-(+)-Glucose,,242,,,,,,
MISSING_FROM_TALLY,G5400 - D-(+)-Glucose,,243,,,,,,
MISSING_FROM_TALLY,G7041 - Gelatin from Coldwater fish skin,,244,,,,,,
MISSING_FROM_TALLY,410225 - Glycine ACS reagent 98%,,245,,,,,,
MISSING_FROM_TALLY,D0750 - D-(+)-Galactose,,246,,,,,,
MISSING_FROM_TALLY,G3272 - Guanidine hydrochloride,,247,,,,,,
MISSING_FROM_TALLY,636347 - Gold Nanopowder,,248,,,,,,
MISSING_FROM_TALLY,254169 - Gold (iii) Chloride Hydrate,,249,,,,,,
MISSING_FROM_TALLY,H7006 - HEPES Sodium Salt = 00.5% (titration),,250,,,,,,
MISSING_FROM_TALLY,H3784 - HEPES Sodium Sodium Salt,,251,,,,,,
MISSING_FROM_TALLY,H11696 - Hexamethylenediamine,,252,,,,,,
MISSING_FROM_TALLY,"40,561-2 Hydroxycyclohexyl - phenyl ketone",,253,,,,,,
MISSING_FROM_TALLY,410896 - 2- Hydroxyl - 4 (2 hydroxy ethoxy) 2-(methyl propiophenone,,254,,,,,,
MISSING_FROM_TALLY,H5126 - 2 - (4-Hydroxyphenylazo) benzonic acid,,255,,,,,,
MISSING_FROM_TALLY,I2399 - Imidazole ACS reagent = 99% (titration),,256,,,,,,
MISSING_FROM_TALLY,207772 - Iodine ACS reagent = 99.8% solid,,257,,,,,,
MISSING_FROM_TALLY,"IO300 - Iron (II, III)Oxide APS 20nm nanopowder",,258,,,,,,
MISSING_FROM_TALLY,157740 - Iron (III) Chloride reagent grade 97%,,259,,,,,,
MATCH_EXACT,62476 - F - Lithium Chloride BioUltra for Molecular Biology,62476 - F - Lithium Chloride BioUltra for Molecular Biology,260,11074,78389433-1b86-42de-bf30-a357884c54ea-00002b42,R&D Inventory,MG,EXACT,
MISSING_FROM_TALLY,123072 - Luminol,,261,,,,,,
MISSING_FROM_TALLY,M9625 - L - Methionine,,262,,,,,,
MISSING_FROM_TALLY,"L4280 - Latex beads, carboxylate modified polystyrene fluorescent blue",,263,,,,,,
MISSING_FROM_TALLY,L4655 - Latex beads carboxylate modified polystyrene fluorescent,,264,,,,,,
MISSING_FROM_TALLY,61840900251730 - Leishman Stain,,265,,,,,,
MISSING_FROM_TALLY,M3148 - 2- Mercaptoethanol,,266,,,,,,
MISSING_FROM_TALLY,M3671 - MES -Low Moisture Content,,267,,,,,,
MISSING_FROM_TALLY,H14A_/214_2702_13 - Mannitol - M4125 - Mannitol,,268,,,,,,
MISSING_FROM_TALLY,"221279 - Manganese (ii, Chloride Tetra Hydrate)",,269,,,,,,
MISSING_FROM_TALLY,60583305001730 - Magnesium Chloride Hexahydrate GR,,270,,,,,,
MISSING_FROM_TALLY,M0512 - Methyl Cellulose,,271,,,,,,
MISSING_FROM_TALLY,25135 - Magnesium Acetate Tetra Hydrate,,272,,,,,,
MISSING_FROM_TALLY,M1254 - MOPS,,273,,,,,,
MISSING_FROM_TALLY,M0040 - Magnesium Sulfate Hepta Hydrate,,274,,,,,,
MISSING_FROM_TALLY,"M7279 - N,Nâ€²-Methylenebisacrylamide",,275,,,,,,
MISSING_FROM_TALLY,56485 - N-Hydroxy Sulfosuccinimide sodium salt,,276,,,,,,
